time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,distance,reward,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.02,-1.720199885,-9.9055561007,15.6100279382,1.0734006671,4.5025321231,0.0097470522,-2.5696964039,-19.4160204079,12.1464234187,-48.0508291012,48.0637320577,0.0101673021,11.5131030907,23.2888646855,49.5094654175,1500.9476209714,1500.5279525464,50.8845559183
1.08,-1.780181324,-11.0934284187,16.3573246517,4.4734960289,1.1037366239,0.0102286424,-0.4046260092,-20.4105312146,13.0915933654,-48.0511473316,48.0810281655,0.0033587452,12.9092515799,23.2886641038,50.040906592,1501.6609476735,1500.589304309,49.47921905
1.14,-1.9007897304,-12.3306981845,17.1351014876,1.5906634754,3.9881109521,0.0103682047,-2.8822346122,-20.8295588771,13.4978031501,-48.0419952248,48.0585079782,0.0001766531,14.372501263,23.2884258841,50.6208442442,1500.6801491321,1500.2156857878,49.23900609
1.2,-1.9805143059,-13.6208836823,17.953296157,4.9919918467,0.5884909269,0.0102091812,-0.2148280727,-21.9937762388,14.3012546664,-48.0209431424,48.0606400415,-0.0090069808,15.8967238437,23.0215787958,51.3467385509,1500.904050824,1499.4661518942,50.3463477658
1.26,-2.0698448301,-14.9685233395,18.8054375773,2.1108260575,3.471831922,0.0095648352,-2.8194785915,-22.3684190857,14.6369600649,-48.0181924536,48.0491562036,-0.0144490093,17.4893304478,23.2880309299,50.4197535898,1500.4262009029,1499.5386255415,50.8929372939
1.32,-2.1738087268,-16.3527506419,19.6963996072,5.5128854922,0.0710686362,0.0086902009,-0.1776995089,-23.4516378754,15.4185709616,-48.0210098273,48.0272634944,-0.0148347145,19.1352570738,23.2879193936,50.7961033976,1499.702041016,1499.662210349,50.1309525623
1.38,-2.2330819372,-17.7906722468,20.6215719791,2.6316123953,2.9530658773,0.0077165164,-2.5861137262,-23.8006377916,15.3584762407,-48.0239993152,48.0416268493,-0.0191725197,20.8401647124,23.2879488133,50.5181101805,1500.4137614489,1499.750467582,49.5444877597
1.44,-2.3550582038,-19.253805869,21.567597204,6.0331620428,5.8356572241,0.0065096417,-0.5027988428,-24.8721277425,16.0063875468,-48.0333467723,48.046445499,-0.0220697015,22.5846107927,23.0213039007,51.3105314216,1500.5120960021,1500.0918560715,49.9808388104
1.5,-2.3921076263,-20.7810191731,22.554340876,3.1509415418,2.4357824219,0.0051037677,-1.8937820229,-25.6664219012,16.1013352515,-48.0423513101,48.0636381549,-0.0263026497,24.3964016117,23.2880140709,50.2324468167,1501.1251211799,1500.4248555574,50.9035469698
1.56,-2.5240305058,-22.3221280366,23.5592587163,0.2687641919,5.3189996007,0.0035146081,-1.140246047,-26.1698639756,16.880300715,-48.0306136754,48.0361514192,-0.0268553802,26.2393145301,23.2880575113,50.7554436446,1499.9894431353,1499.915032335,50.3153302123
